Metric,Mean_5m,Mean_10m,Mean_30m,Mean_60m,MAE_10m,MAE_30m,MAE_60m,MAPE_10m,MAPE_30m,MAPE_60m,RMSE_10m,RMSE_30m,RMSE_60m,KS_10m,KS_pvalue_10m,KS_30m,KS_pvalue_30m,KS_60m,KS_pvalue_60m
duration,784.9440762220381,789.8840099420049,809.6768848384424,840.0745650372825,4.93993371996686,24.73280861640431,55.130488815244405,0.010846504214064676,0.054443656925324234,0.12401668238509261,6.105093151302541,27.513459837781873,60.396628156101116,0.016984258492129246,0.8772574736819048,0.06338028169014084,0.00012236203137049948,0.1309030654515327,1.9425410920826972e-18
I30,0.7808224689312343,0.3842682518641254,0.11564069870201567,0.08157008837337741,0.3965542170671085,0.6651817702292185,0.699252380557857,0.507881046087578,0.8498639740681231,0.8892971749722297,0.5513779375409932,0.9286159221690143,0.9805804583055276,0.3852526926263463,4.3362996967293645e-160,0.8032311516155758,0.0,0.8765534382767192,0.0
time_to_peak,390.3251864125932,388.57497928748967,375.64623032311516,367.50621375310686,51.199254349627175,104.60024855012428,133.51905550952776,,,,181.93875008393454,277.2665315082488,307.93188933151146,0.033140016570008285,0.1410924733129341,0.07995028997514499,3.925767518531817e-07,0.12137531068765535,6.626819663835535e-16
peak_position_ratio,0.47689415966243326,0.47174265948888355,0.4414348204827614,0.41148696644594124,0.06403420686798195,0.12871970090385848,0.17367495491085355,,,,0.18014956354254763,0.25109604819845205,0.2878708931022377,0.030654515327257662,0.20674347657521439,0.08782104391052195,1.6090293031488805e-08,0.1309030654515327,1.9425410920826972e-18
third_ppr,0.9457332228666114,0.9391052195526097,0.8732394366197183,0.7916321458160729,0.1516155758077879,0.29618889809444904,0.4101077050538525,,,,0.4943759927462205,0.6923059220053984,0.8038845210073158,0.007456503728251864,0.999999901905025,0.048467274233637114,0.006883896635429979,0.10936205468102735,5.492360473432959e-13
std,1.2770140152700358,1.1571895733188982,0.9315845095577798,0.7832564953828215,0.12038262607376558,0.3474074866543205,0.4972603684717338,0.07857281240271587,0.2236633037247642,0.32737730379619784,0.26170282989816884,0.6971360294937894,0.9519962759510748,0.05758077879038939,0.0006665806382752883,0.16072908036454017,1.2735656577630435e-27,0.2502071251035626,9.543603321021582e-67
max_intensity,8.138252858326487,5.98636652858328,3.4692209610604903,2.4471026512013294,2.151886329743165,4.669031897265949,5.691150207125104,0.21643850290064454,0.48198755363634627,0.6068333465038934,4.270281286606773,8.474375517266083,9.990138947657563,0.14374482187241094,3.6980124015015254e-22,0.364125932062966,1.2064226187888846e-142,0.503728251864126,5.858379903896378e-279
mean_intensity,0.8114126996186584,0.801251427133599,0.7626163269989934,0.7116519613759209,0.01016127248505819,0.0487963726196658,0.09976073824273819,0.010580967986402498,0.04944589916331824,0.10153792999693863,0.022850972282710234,0.098081250581968,0.19894776037656584,0.010770505385252692,0.9990067038245228,0.03686826843413422,0.07515181130235532,0.0695940347970174,1.6607109737644995e-05
min_intensity,0.051286826843413305,0.0471111847555923,0.045253935376967654,0.06037025683512831,0.01714349627174814,0.02515252692626346,0.0411930405965203,0.09979614730108849,0.1267818270261523,,0.05062293280323319,0.08016805825395039,0.1329023317811802,0.01946975973487987,0.7501630802311168,0.03106876553438277,0.19440345134068934,0.07953603976801989,4.6059747618417856e-07
cv,1.8101960570824527,1.6565983671771076,1.3895376202694225,1.2283913916088869,0.156298535095817,0.43094271367567727,0.6085271432246104,0.07145570266954826,0.19561735759828283,0.28301901504614146,0.2767953488401557,0.671689399148146,0.9101791601958777,0.054266777133388566,0.0016322113925622997,0.17688483844241923,2.1503734246520653e-33,0.27174813587406793,8.226552455529603e-79
